UM-Associated COVID Case Data,,,,
Date,New Cases ,Active,Recovered,Cumulative
12-Aug,0,0,0,0
13-Aug,0,0,0,0
14-Aug,0,0,0,0
15-Aug,0,0,0,0
16-Aug,1,1,0,1
17-Aug,0,1,0,1
18-Aug,0,1,0,1
19-Aug,0,1,0,1
20-Aug,0,1,0,1
21-Aug,1,2,0,2
22-Aug,0,,,2
23-Aug,1,,,3
24-Aug,0,3,0,3
25-Aug,0,3,0,3
26-Aug,1,4,0,4
27-Aug,0,4,0,4
28-Aug,0,4,0,4
29-Aug,0,,,4
30-Aug,0,,,4
31-Aug,0,3,1,4
1-Sep,0,3,1,4
2-Sep,0,3,1,4
3-Sep,1,4,1,5
4-Sep,0,3,2,5
5-Sep,0,,,5
6-Sep,0,,,5
7-Sep,0,2,3,5
8-Sep,0,2,3,5
9-Sep,0,2,3,5
10-Sep,2,4,3,7
11-Sep,3,6,4,10
12-Sep,1,,,11
13-Sep,1,,,12
14-Sep,4,12,4,16
15-Sep,3,15,4,19
16-Sep,10,25,4,29
17-Sep,14,39,4,43
18-Sep,7,44,6,50
19-Sep,4,,,54
20-Sep,0,,,54
21-Sep,3,46,11,57
22-Sep,6,48,15,63
23-Sep,9,56,16,72
24-Sep,20,72,20,92
25-Sep,8,76,24,100
26-Sep,12,,,112
27-Sep,0,,,112
28-Sep,0,78,34,112
29-Sep,11,82,41,123
30-Sep,4,78,49,127
1-Oct,3,75,55,130
2-Oct,19,89,60,149
3-Oct,7,,,156
4-Oct,24,,,180
5-Oct,2,108,74,182
6-Oct,10,100,92,192
7-Oct,15,101,106,207
8-Oct,13,100,120,220
9-Oct,1,93,128,221
10-Oct,13,,,234
11-Oct,6,,,240
12-Oct,0,85,155,240
13-Oct,3,80,163,243
14-Oct,10,77,176,253
15-Oct,5,71,187,258
16-Oct,5,69,194,263
17-Oct,5,,,268
18-Oct,0,,,268
19-Oct,0,64,204,268
20-Oct,2,58,212,270
21-Oct,2,53,219,272
22-Oct,6,56,222,278
23-Oct,8,56,230,286
24-Oct,6,,,292
25-Oct,11,,,303
26-Oct,0,52,251,303
27-Oct,12,56,259,315
28-Oct,0,49,266,315
29-Oct,11,56,270,326
30-Oct,3,56,273,329
31-Oct,1,,,330
1-Nov,2,,,332
2-Nov,0,53,279,332
3-Nov,6,56,282,338
4-Nov,0,48,290,338
5-Nov,9,52,295,347
6-Nov,5,52,300,352
7-Nov,4,,,356
8-Nov,5,,,361
9-Nov,0,56,305,361
10-Nov,12,62,311,373
11-Nov,4,65,312,377
12-Nov,1,59,319,378
13-Nov,9,63,324,387
14-Nov,5,,,392
15-Nov,8,,,400
16-Nov,6,60,334,406
17-Nov,0,58,351,406
18-Nov,9,66,352,415
19-Nov,12,69,361,427
20-Nov,4,68,366,431
21-Nov,9,,,440
22-Nov,0,,,440
23-Nov,4,71,376,444
24-Nov,2,67,382,446
25-Nov,6,68,387,452
26-Nov,5,64,396,457
27-Nov,4,69,396,461
28-Nov,1,,,462
29-Nov,0,,,462
30-Nov,0,46,420,462
1-Dec,0,43,422,462
2-Dec,3,41,427,465
3-Dec,1,32,437,466
4-Dec,3,25,447,469
5-Dec,3,,,472
6-Dec,0,,,472
7-Dec,6,28,452,478
8-Dec,0,26,454,478
9-Dec,0,24,454,478
10-Dec,1,23,456,479
11-Dec,1,20,460,480
12-Dec,0,,,480
13-Dec,1,,,481
14-Dec,1,12,470,482
15-Dec,0,12,470,482
16-Dec,1,13,470,483
17-Dec,1,7,477,484
18-Dec,1,6,479,485
19-Dec,0,,,485
20-Dec,2,,,487
21-Dec,0,6,481,487
22-Dec,0,6,481,487
23-Dec,0,6,481,487
24-Dec,1,6,482,488
25-Dec,0,,,488
26-Dec,0,,,488
27-Dec,0,,,488
28-Dec,0,4,484,488
29-Dec,0,4,484,488
30-Dec,0,4,484,488
31-Dec,0,2,486,488
1-Jan,0,1,487,488
2-Jan,0,,,488
3-Jan,0,,,488
4-Jan,0,0,488,488
